@relation outdoorStream

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric

@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39}

@data
0.005218,0.0011182,0.0011182,0,0.0003727,0.0022363,0.0007454,0.0067089,0.0029817,0.0007454,0.0007454,0,0.20462,0.58554,0.0063362,0.0123,0.097279,0.024227,0.0040999,0.02609,0.017145,21
0.0003323,0.0006647,0.0016617,0.0006647,0.0006647,0.004985,0,0.0043204,0.0099701,0.0003323,0.0033234,0.0003323,0.19442,0.60086,0.0076437,0.0099701,0.092057,0.020272,0.0066467,0.022267,0.018278,21
0.0015793,0.0018951,0.0003159,0.0003159,0,0.0003159,0.0003159,0.002211,0.0009476,0,0.0003159,0.0012634,0.19394,0.59602,0.0056854,0.0085281,0.094125,0.03127,0.0037903,0.025584,0.03127,21
0.0018411,0.0012274,0.0012274,0,0,0.0006137,0.0009205,0.0079779,0.0015342,0,0.0009205,0.0018411,0.19454,0.59405,0.0085916,0.012274,0.099417,0.026082,0.0042958,0.018104,0.024241,21
0.0031153,0.0011328,0.0008496,0,0.0002832,0.001416,0.0019824,0.0031153,0.0016992,0.0011328,0.0019824,0.0011328,0.1889,0.60181,0.0065137,0.0079298,0.092325,0.035967,0.0053809,0.017842,0.025205,21
0.0056285,0.0003127,0.0003127,0.0006254,0,0.0021889,0.0028143,0.012821,0.0021889,0.0009381,0.0021889,0.003127,0.21482,0.53846,0.0096936,0.022201,0.099437,0.028455,0.0056285,0.025016,0.02314,21
0.0027234,0.0004952,0.0002476,0,0,0.0027234,0.0027234,0.004209,0.0022283,0.0007428,0.0009903,0.0037138,0.19856,0.59891,0.0076752,0.015845,0.079475,0.029958,0.0059421,0.021788,0.02055,21
0,0.0013383,0.002409,0.0005353,0,0.001606,0,0.0002677,0.0029443,0.000803,0.0005353,0,0.21494,0.61643,0.006424,0.014722,0.091274,0.014989,0.0034797,0.016328,0.010974,21
0.0007064,0.0007064,0.0009418,0,0,0.0014128,0.0002355,0.0023546,0.0021191,0,0.0014128,0.0007064,0.21333,0.61879,0.0051801,0.016247,0.083588,0.019779,0.0040028,0.016011,0.012244,21
0.005487,0.0013717,0.0003919,0.000196,0,0.0019596,0.000196,0.0072506,0.0019596,0.0007839,0.0005879,0.0007839,0.20263,0.6018,0.0035273,0.0072506,0.09857,0.016657,0.005095,0.020576,0.022732,21
0,0,0,0,0,0.0003775,0.0003775,0.027935,0.05285,0.038128,0.056248,0,0.12873,0.661,0.03322,0,0.0003775,0,0,0,0.000755,10
0,0,0,0,0,0.0017053,0,0.026603,0.036494,0.036835,0.05764,0,0.12074,0.67974,0.025921,0,0.0013643,0.0064802,0,0.0027285,0.0034106,10
0,0,0,0,0,0.0016239,0.0009743,0.033128,0.05164,0.033128,0.05976,0.0003248,0.092887,0.68983,0.034751,0.0006496,0.0006496,0,0.0003248,0.0003248,0,10
0,0,0,0,0,0.0020161,0.000288,0.048963,0.043491,0.037442,0.060196,0,0.09735,0.67252,0.025346,0.000576,0.0014401,0.0048963,0,0.0011521,0.0043203,10
0,0,0,0,0,0.0029618,0.0005385,0.02881,0.047388,0.034464,0.062466,0.0005385,0.11955,0.66667,0.032041,0.0002693,0.0005385,0.0024233,0,0.0008078,0.0005385,10
0,0,0,0,0,0.0025355,0,0.034736,0.045385,0.032454,0.063134,0.0010142,0.12525,0.66151,0.030426,0.0002535,0.0002535,0.0010142,0,0.0007606,0.0012677,10
0,0,0,0,0,0.0021053,0.0007018,0.047017,0.064795,0.043977,0.059883,0,0.10784,0.64982,0.020585,0.0007018,0.0004678,0.0011696,0,0.0004678,0.0004678,10
0,0,0,0,0,0.0016757,0.0004189,0.041265,0.047968,0.033096,0.065354,0.0006284,0.10809,0.67134,0.023041,0.0004189,0.0004189,0.0037704,0.0002095,0.0008379,0.0014663,10
0,0,0,0,0,0.0017311,0.000577,0.029621,0.053087,0.036738,0.063474,0.0013464,0.12714,0.65878,0.024428,0.0003847,0,0.0015388,0.0001923,0.0001923,0.0007694,10
0,0,0.0001697,0.0001697,0,0.0023753,0.0006787,0.03054,0.043943,0.040041,0.06057,0.0006787,0.15134,0.63437,0.023074,0,0.0016966,0.0042416,0.0003393,0.001527,0.0042416,10
0,0,0,0,0,0.0054152,0,0,0.0036101,0.041516,0.046931,0,0,0.1065,0.79422,0.0018051,0,0,0,0,0,20
0,0,0,0,0,0.012177,0,0,0.0045662,0.015221,0.045662,0,0,0.13242,0.78843,0.0015221,0,0,0,0,0,20
0,0,0,0,0,0.01626,0,0,0.0081301,0.01626,0.056911,0,0,0.16125,0.73984,0,0,0.001355,0,0,0,20
0,0,0,0,0,0.020382,0,0,0.0063694,0.049682,0.03949,0,0,0.13248,0.75159,0,0,0,0,0,0,20
0,0,0,0,0.0011325,0.015855,0,0,0.0079275,0.03171,0.052095,0,0,0.18007,0.69989,0.0056625,0,0.0056625,0,0,0,20
0,0,0,0,0,0.021847,0,0,0.015889,0.042701,0.042701,0,0,0.13605,0.74081,0,0,0,0,0,0,20
0,0,0,0,0,0.018182,0,0,0.0081818,0.043636,0.042727,0.0009091,0,0.15636,0.72545,0.0036364,0,0.0009091,0,0,0,20
0,0,0,0,0.0007587,0.015175,0,0,0.0068285,0.048558,0.044765,0.0007587,0,0.18361,0.69347,0.0022762,0,0.0030349,0.0007587,0,0,20
0,0,0,0,0.0005764,0.020749,0,0,0.012104,0.067435,0.046686,0.0005764,0,0.22709,0.62133,0.0017291,0,0.0017291,0,0,0,20
0,0,0,0,0.0008161,0.007889,0,0,0.0046246,0.044614,0.032372,0.000272,0,0.2636,0.64527,0.000272,0,0.000272,0,0,0,20
0,0,0,0,0,0,0,0,0,0,0,0.025046,0.73488,0.1405,0.0018326,0.018937,0.037263,0.0073305,0.0085522,0.012217,0.013439,27
0,0,0,0,0,0.0004919,0,0,0,0,0,0.029021,0.65175,0.20364,0.0063945,0.013773,0.048205,0.013773,0.004427,0.0098377,0.018692,27
0,0,0,0,0,0,0,0,0.000823,0.0004115,0.0004115,0.022634,0.58848,0.25473,0.012757,0.017284,0.048148,0.01893,0.0045267,0.012346,0.018519,27
0,0,0,0,0,0.0003711,0,0,0,0,0.0014842,0.027829,0.59629,0.25195,0.014471,0.017069,0.043043,0.0141,0.0025974,0.012616,0.018182,27
0,0,0,0,0,0,0,0,0,0,0.0006684,0.025401,0.56283,0.27072,0.012366,0.026069,0.053476,0.014037,0.0026738,0.013703,0.018048,27
0,0,0,0,0,0,0,0,0.0003037,0.0003037,0.000911,0.036137,0.54631,0.27695,0.012451,0.023687,0.043425,0.02399,0.0039478,0.012754,0.018221,27
0,0,0,0,0,0,0,0,0,0.0005283,0.0007924,0.044374,0.54068,0.26651,0.011886,0.018489,0.047808,0.030903,0.0052826,0.012942,0.01981,27
0,0,0,0,0,0.0004832,0,0,0.0004832,0.0007248,0.0007248,0.039381,0.53878,0.27084,0.013288,0.031892,0.039623,0.026093,0.0045905,0.014013,0.018845,27
0,0,0,0,0,0.0006582,0,0,0,0,0.001097,0.037736,0.51777,0.26964,0.01448,0.038175,0.052435,0.027424,0.0050461,0.015796,0.019745,27
0,0,0,0,0,0,0,0,0,0.0015567,0.0011675,0.04028,0.50983,0.27359,0.015567,0.03775,0.050983,0.024713,0.0083674,0.01654,0.019459,27
0,0,0,0,0,0.0039841,0,0,0.14855,0.30905,0.29084,0,0,0.10586,0.14172,0,0,0,0,0,0,23
0,0,0,0,0,0.004235,0,0,0.11223,0.3081,0.30175,0,0,0.13764,0.13234,0.0005294,0,0.0021175,0,0.0010588,0,23
0,0,0,0,0,0.0034895,0,0,0.15504,0.30459,0.31206,0,0,0.08674,0.13759,0.0004985,0,0,0,0,0,23
0,0,0,0,0,0.0023137,0,0,0.14345,0.31189,0.32254,0,0,0.095789,0.12355,0.0004627,0,0,0,0,0,23
0,0,0,0,0,0.0030198,0,0,0.15488,0.30112,0.32873,0,0,0.075927,0.13417,0.0017256,0,0,0,0,0.0004314,23
0,0,0,0,0,0.0078003,0,0,0.15055,0.30772,0.33112,0,0,0.083073,0.11935,0.00039,0,0,0,0,0,23
0,0,0,0,0.0003604,0.0054054,0,0,0.1582,0.31856,0.33045,0.0003604,0,0.069189,0.11676,0.0007207,0,0,0,0,0,23
0,0,0,0,0,0.0074289,0,0,0.16441,0.30749,0.33979,0.000323,0,0.056202,0.12306,0.001292,0,0,0,0,0,23
0,0,0,0,0.0011947,0.0089606,0,0,0.15801,0.30884,0.34498,0.0008961,0,0.062127,0.1135,0.0008961,0,0.0005974,0,0,0,23
0,0,0,0,0.0002732,0.010382,0,0,0.16175,0.30219,0.34809,0.0002732,0,0.052732,0.1235,0.0005464,0,0,0,0,0.0002732,23
0.13673,0.013575,0.0004907,0,0,0.0011449,0.058554,0.56461,0.0008178,0.0001636,0,0.0021263,0.074419,0.074256,0.0003271,0.0004907,0.0042525,0.034184,0.0006542,0.013248,0.019791,39
0.12255,0.019413,0.0001482,0,0,0.0001482,0.05572,0.57321,0,0,0,0.0014819,0.076763,0.07543,0,0.0005928,0.0056313,0.034084,0,0.012745,0.021191,39
0.11108,0.014495,0,0,0,0.0003953,0.050072,0.60113,0.0005271,0,0.0002635,0.0013177,0.065358,0.083806,0.0006588,0.0003953,0.0044802,0.03571,0.0007906,0.010805,0.018316,39
0.10195,0.012652,0,0,0,0.0002433,0.046837,0.61995,0.0001217,0,0,0.0010949,0.059611,0.082968,0.0001217,0.0009732,0.0018248,0.038321,0.000365,0.012409,0.020438,39
0.10395,0.012328,0.0001111,0,0,0.0002221,0.051311,0.62161,0.0004442,0,0,0.0021102,0.066193,0.070969,0.0003332,0.0008885,0.0016659,0.040315,0.0008885,0.0095513,0.016881,39
0.10205,0.01543,0.0002057,0,0,0.0002057,0.051229,0.6271,0.0006172,0.0001029,0,0.0018517,0.05483,0.071495,0.0003086,0.0004115,0.0027775,0.040942,0.0010287,0.011521,0.016562,39
0.10262,0.014044,9.18e-05,0.0001836,0,0.000459,0.05425,0.61924,0.0003672,0,0,0.0017441,0.061135,0.067927,0,0.0006426,0.0036717,0.038003,0.0005508,0.014044,0.020286,39
0.10061,0.011225,0,0,0,0,0.059366,0.61636,0,0,0,0.0013303,0.058119,0.068097,0,0.001164,0.0060697,0.04149,0.0004157,0.015548,0.019623,39
0.096934,0.01263,0.0001522,0,0,0.0001522,0.060869,0.61554,0.0006848,0,7.61e-05,0.0015217,0.053793,0.068554,0.0003804,0.0006848,0.0052499,0.045043,0.0002283,0.014228,0.023054,39
0.099889,0.011821,6.91e-05,0.0001383,0,0,0.063459,0.62685,0.0001383,0,0,0.0011752,0.057099,0.06021,6.91e-05,0.0006221,0.0060832,0.0412,0.0004839,0.012996,0.017351,39
0,0,0,0,0,0.015063,0,0,0.016736,0.20753,0.30628,0,0,0.23849,0.21506,0.0008368,0,0,0,0,0,23
0,0,0,0,0.0024019,0.017614,0,0,0.013611,0.18014,0.30104,0,0,0.23058,0.2538,0.0008006,0,0,0,0,0,23
0,0,0,0,0.0015038,0.016541,0,0,0.011278,0.21504,0.30526,0.0015038,0,0.2421,0.20677,0,0,0,0,0,0,23
0,0,0,0,0.0004593,0.011484,0,0,0.010565,0.13045,0.20119,0,0,0.48231,0.16307,0.0004593,0,0,0,0,0,23
0,0,0,0,0,0.014678,0,0,0.013401,0.18698,0.31461,0,0,0.24569,0.22272,0,0,0.0019145,0,0,0,23
0,0,0,0,0.0016488,0.011954,0,0,0.0078318,0.13644,0.23372,0.0016488,0,0.46702,0.13932,0,0,0.0004122,0,0,0,23
0,0,0,0,0,0.013633,0,0,0.0092221,0.14715,0.25581,0,0,0.43304,0.13994,0.0008019,0,0.000401,0,0,0,23
0,0,0,0,0.0019417,0.019418,0,0,0.007767,0.20194,0.34418,0,0,0.23981,0.18398,0.0009709,0,0,0,0,0,23
0,0,0,0,0.0041494,0.022822,0,0,0.010373,0.19585,0.33527,0.0004149,0,0.24896,0.17967,0.0008299,0,0.0008299,0.0004149,0.0004149,0,23
0,0,0,0,0.0033272,0.029575,0,0,0.0092421,0.20222,0.34048,0.0003697,0,0.25804,0.15342,0.0011091,0,0.0018484,0.0003697,0,0,23
0.0012893,0.0002579,0,0,0.0018051,0.0064466,0.0002579,0.0061888,0.003868,0.064724,0.37648,0.0012893,0.021661,0.28932,0.11836,0.0007736,0.0036101,0.063177,0.0015472,0.014183,0.024497,35
0.0002899,0,0,0,0.0011594,0.0066667,0,0.0011594,0.0078261,0.089565,0.44174,0.0002899,0.017971,0.22928,0.13971,0.0014493,0.0037681,0.030725,0.0017391,0.010145,0.016522,35
0.0019417,0,0,0,0.0024965,0.0069348,0.0008322,0.00638,0.0030513,0.090985,0.4491,0.0005548,0.015257,0.21165,0.14286,0.001387,0.0052705,0.030236,0.0027739,0.0094313,0.018585,35
0.0005398,0,0,0,0.002969,0.0062078,0.0010796,0.0067476,0.0032389,0.080432,0.45425,0.0008097,0.0097166,0.217,0.14575,0.0008097,0.0037787,0.047503,0.0010796,0.0053981,0.012416,35
0.0010025,0,0,0,0,0.0055138,0.0002506,0.0045113,0.0032581,0.075439,0.42556,0.0005013,0.01203,0.25012,0.14311,0.0002506,0.0057644,0.045113,0.0027569,0.0087719,0.015539,35
0,0,0,0,0.0002982,0.0047704,0,0,0.0005963,0.097495,0.50775,0.0002982,0.0035778,0.18813,0.16547,0.0002982,0.0002982,0.016995,0.0005963,0.003876,0.0080501,35
0,0,0,0,0,0.0042493,0,0,0.005949,0.094334,0.4881,0.0002833,0.0056657,0.2,0.15779,0.0011331,0.0025496,0.025496,0.0002833,0.0031161,0.010198,35
0.0014514,0,0,0,0.0021771,0.0038703,0.0012095,0.0065312,0.0038703,0.073778,0.43711,0.0004838,0.019594,0.22593,0.1553,0.0014514,0.0029028,0.035317,0.0041122,0.0089502,0.015723,35
0,0,0,0,0.0004897,0.0053869,0,0,0.001714,0.076885,0.47649,0,0.0066112,0.22184,0.15451,0.0007346,0.0031832,0.031587,0.003428,0.0066112,0.0097943,35
0.0006829,0,0,0.0002276,0.0002276,0.0054632,0.0002276,0.0031869,0.0038698,0.082859,0.46574,0.0004553,0.018438,0.21124,0.15252,0.0018211,0.0020487,0.022536,0.0029593,0.0070567,0.018211,35
0,0,0,0,0,0.0002268,0,0.0056702,0.026763,0,0.0006804,0,0.098435,0.75187,0.0083919,0.0074847,0.068496,0.014743,0.0027217,0.009526,0.004763,21
0,0,0,0,0,0,0,0.0088515,0.013601,0,0.0002159,0.0002159,0.093048,0.7785,0.010795,0.009715,0.057427,0.014033,0.001943,0.0071244,0.0043178,21
0,0,0,0,0,0,0,0.0059548,0.019918,0,0.0002053,0,0.097331,0.76817,0.0053388,0.0061602,0.069199,0.0096509,0.0026694,0.0080082,0.0071869,21
0,0,0,0,0,0.0001907,0,0.0076278,0.021167,0,0.0003814,0.0001907,0.10583,0.75667,0.0076278,0.0064836,0.061785,0.015446,0.0041953,0.0076278,0.0047674,21
0,0,0,0,0,0,0,0.012515,0.034197,0,0.0001763,0.0001763,0.090428,0.75304,0.0079323,0.005817,0.063811,0.016041,0.0037017,0.007756,0.0044068,21
0,0,0,0,0,0.0001734,0,0.0050277,0.019244,0,0.0003467,0.0001734,0.094834,0.77705,0.0065881,0.0071082,0.067094,0.0084951,0.0027739,0.0062413,0.0048544,21
0,0,0,0,0,0.0001685,0.0005056,0.0062363,0.02326,0.0001685,0.0006742,0.0005056,0.10905,0.75089,0.0016855,0.0050565,0.07433,0.0091016,0.0023597,0.0082589,0.0075847,21
0,0,0,0,0,0,0.0001626,0.0071533,0.020484,0,0.0004877,0.0004877,0.1021,0.75776,0.0035767,0.010242,0.069745,0.011543,0.0027638,0.007641,0.0058527,21
0,0,0,0,0,0,0,0.0075361,0.022916,0,0,0.0001538,0.1052,0.74423,0.0072285,0.014457,0.067518,0.012611,0.003076,0.0078437,0.0072285,21
0,0,0,0,0,0,0.0003061,0.013468,0.02663,0,0.000153,0,0.093664,0.74824,0.0042853,0.012703,0.072697,0.0090297,0.0026018,0.011019,0.0050505,21
0,0,0,0,0,0.011431,0,0,0.0071973,0.08171,0.40897,0.0008467,0,0.19263,0.29467,0.0004234,0,0.0016935,0,0.0004234,0,35
0,0,0,0,0.0004092,0.011457,0,0,0.0040917,0.072013,0.43822,0,0,0.16939,0.30074,0,0,0.0020458,0.0004092,0.0008183,0.0004092,35
0,0,0,0,0.0010953,0.011683,0,0,0.0047463,0.084702,0.42096,0.0003651,0,0.18109,0.28916,0.0010953,0,0.0032859,0.0007302,0.0010953,0,35
0,0,0,0,0.0003317,0.014925,0,0,0.0063018,0.086899,0.42056,0.000995,0,0.17745,0.28823,0.0016584,0,0.000995,0.0006633,0.0006633,0.0003317,35
0,0,0,0,0.0035917,0.015265,0,0,0.0053876,0.085004,0.41844,0.0008979,0,0.16971,0.29961,0.0014966,0,0.0002993,0.0002993,0,0,35
0,0,0,0,0.0002769,0.016611,0,0,0.0052602,0.068383,0.43356,0,0,0.16944,0.30233,0.0011074,0,0.0013843,0.0005537,0.0002769,0.0008306,35
0,0,0,0,0.0024456,0.016141,0,0,0.0036684,0.05796,0.43434,0.0004891,0.0002446,0.17339,0.30276,0.0012228,0.0007337,0.0024456,0.0007337,0.0009782,0.0024456,35
0,0,0,0,0.0041638,0.014342,0,0,0.0032385,0.069859,0.4372,0,0,0.16886,0.29748,0.0002313,0,0.0020819,0.0009253,0.0004626,0.0011566,35
0,0,0,0,0.0068357,0.014994,0,0,0.0039691,0.071003,0.43705,0,0,0.16626,0.29438,0.001323,0,0.0024256,0.0006615,0.0002205,0.0006615,35
0,0,0,0,0.0042596,0.012779,0,0,0.0022312,0.063489,0.44746,0.0004057,0,0.16288,0.29899,0.0008114,0,0.0046653,0.0010142,0.0006085,0.0004057,35
0,0,0,0,0,0.0004593,0,0.0022967,0.024345,0.0022967,0.0032154,0.060175,0.43317,0.39228,0.022049,0.0036748,0.017915,0.016996,0.0009187,0.010565,0.009187,34
0,0,0,0,0,0.0004205,0,0.0092515,0.0164,0,0.0016821,0.054668,0.40707,0.41547,0.023549,0.0063078,0.0164,0.022288,0.0012616,0.012195,0.013036,34
0,0,0,0,0,0,0,0.0047951,0.014821,0.0047951,0.0047951,0.058849,0.43156,0.41282,0.023976,0.0074106,0.0091543,0.0087184,0.0026155,0.0069747,0.0087184,34
0,0,0,0,0,0.0004216,0,0.0033727,0.020236,0.0033727,0.0025295,0.060708,0.42791,0.41147,0.025717,0.0042159,0.012648,0.010118,0.0021079,0.005059,0.010118,34
0,0,0,0,0,0.0003075,0,0.0033825,0.015683,0.00123,0.00246,0.056273,0.40191,0.40529,0.023985,0.0055351,0.021218,0.025215,0.0021525,0.019373,0.015683,34
0,0,0,0,0.0002916,0.0008749,0,0.0008749,0.014873,0.0032079,0.0061242,0.056868,0.4112,0.38437,0.02333,0.0040828,0.02683,0.025955,0.0014582,0.024497,0.015165,34
0,0,0,0,0,0,0,0.0023168,0.016797,0.0031856,0.0057921,0.061685,0.41935,0.38749,0.024037,0.0072401,0.020562,0.015639,0.0020272,0.017087,0.016218,34
0,0,0,0,0,0.0012807,0,0.0028176,0.013832,0.0061475,0.0066598,0.053791,0.40881,0.38832,0.02459,0.0061475,0.021004,0.025102,0.0030738,0.020236,0.01793,34
0,0,0,0.000208,0,0.0004161,0,0.0020803,0.016434,0.0039526,0.0054088,0.057,0.38277,0.36052,0.020387,0.0056168,0.04015,0.035365,0.0031204,0.037445,0.028708,34
0,0,0,0.0002134,0.0002134,0.001067,0,0.0029876,0.020487,0.0059752,0.004268,0.066368,0.39116,0.38903,0.026889,0.0078959,0.018139,0.025608,0.0036278,0.017926,0.017499,34
0,0,0,0,0,0.015487,0,0,0.11062,0.11615,0.050332,0,0,0.51825,0.18916,0,0,0,0,0,0,18
0,0,0,0,0.0041907,0.01781,0,0,0.10791,0.1252,0.046621,0,0,0.52174,0.17548,0.0010477,0,0,0,0,0,18
0,0,0,0,0.0024085,0.014451,0,0,0.099229,0.1315,0.045761,0,0,0.52168,0.18401,0.0009634,0,0,0,0,0,18
0,0,0,0,0.0022533,0.01397,0,0,0.096891,0.12663,0.047319,0,0,0.53312,0.17711,0.0009013,0,0.0009013,0.0004507,0,0.0004507,18
0,0,0,0,0.0021268,0.011484,0,0,0.10208,0.13611,0.043811,0.0008507,0,0.52446,0.17652,0.0025521,0,0,0,0,0,18
0,0,0,0,0.0003823,0.014526,0,0,0.10245,0.12844,0.05581,0,0,0.51682,0.17928,0.0019113,0,0,0.0003823,0,0,18
0,0,0,0,0.0025189,0.0097157,0,0,0.12199,0.12846,0.059734,0.0003598,0,0.50594,0.16841,0.0014394,0,0.0007197,0,0.0003598,0.0003598,18
0,0,0,0.0003205,0.0022436,0.010897,0,0,0.11859,0.1359,0.048077,0,0,0.50801,0.17436,0.000641,0,0,0.0003205,0.0003205,0.0003205,18
0,0,0,0,0.0023788,0.0098127,0,0,0.11389,0.12786,0.049361,0.0002974,0,0.51442,0.1799,0.0008921,0,0.0005947,0.0002974,0,0.0002974,18
0,0,0,0,0.0013774,0.01405,0,0,0.12176,0.13306,0.047107,0.0002755,0,0.5124,0.16887,0.0011019,0,0,0,0,0,18
0,0,0,0,0,0.0086735,0,0,0.002551,0.10867,0.32092,0,0,0.26327,0.2898,0.0015306,0,0.0040816,0.0005102,0,0,24
0,0,0,0,0,0.008658,0,0,0.006253,0.12698,0.32467,0,0,0.24291,0.28908,0.001443,0,0,0,0,0,24
0,0,0,0,0,0.0048889,0,0,0.0075556,0.11778,0.33867,0,0,0.23911,0.28889,0.0022222,0,0.0008889,0,0,0,24
0,0,0,0,0,0.0057613,0,0,0.0028807,0.1321,0.33868,0,0,0.2465,0.26502,0.0016461,0,0.0061728,0.000823,0.0004115,0,24
0,0,0,0,0,0.007725,0,0,0.004635,0.14137,0.34763,0,0,0.21785,0.27771,0.0003862,0,0.001545,0,0.0007725,0.0003862,24
0,0,0,0,0.0003375,0.011137,0,0,0.0047249,0.1377,0.35977,0,0,0.22106,0.26156,0.00135,0,0.00135,0.0010125,0,0,24
0,0,0,0,0.0018779,0.010016,0,0,0.0018779,0.13552,0.35524,0.000626,0,0.21096,0.28106,0.000939,0,0.0018779,0,0,0,24
0,0,0,0,0.0005877,0.0079342,0,0,0.0029386,0.1531,0.38495,0.0005877,0,0.19365,0.25477,0.0011754,0,0.0002939,0,0,0,24
